mode,trial,total_time
single,1,1.3895735030528158
single,2,1.3689480510074645
single,3,1.363533322000876
single,4,1.376697844825685
single,5,1.3926647249609232
single,6,1.368881257949397
single,7,1.3649586120154709
single,8,1.3855246149469167
single,9,1.3640632389578968
single,10,1.3629685859195888
swarm,1,0.9446720071136951
swarm,2,0.9439992399420589
swarm,3,0.9512092869263142
swarm,4,0.9592283659148961
swarm,5,0.9575318398419768
swarm,6,0.9645650209859014
swarm,7,0.9632033659145236
swarm,8,0.9515233230777085
swarm,9,0.9541683979332447
swarm,10,0.9498746839817613
thread,1,1.732600704068318
thread,2,1.6980287309270352
thread,3,1.693558502011001
thread,4,1.7182857480365783
thread,5,1.6968156041111797
thread,6,1.6973879139404744
thread,7,1.7183733079582453
thread,8,1.695600214181468
thread,9,1.6963251389097422
thread,10,1.7219940240029246
process,1,161.23375402693637
process,2,164.01047330815345
process,3,165.18460726202466
process,4,164.3559896859806
process,5,166.12214159895666
process,6,162.7451548371464
process,7,160.71580112702213
process,8,162.79902802500874
process,9,163.76774194207974
process,10,165.88557330006734
