single,swarm,thread,process
2.854077266457201e-14,4.696901407908256e-13,1.610784525183037e-16,2.9855726110348755e-15
8.711036428533646e-14,7.420098589039388e-17,5.3145605454867524e-15,2.841200903072124e-16
3.8868476138216104e-14,8.493921417602615e-16,3.1373852335995797e-13,8.416238054922013e-15
2.76874762434314e-16,4.578072189733942e-18,1.3916741202690893e-14,6.995657285227744e-18
3.033102548727472e-16,2.927956146844237e-16,2.1088899712561543e-15,1.0090282306016935e-17
2.5442465790083107e-17,5.767971627809327e-16,3.328142296671668e-14,2.518118747743048e-16
2.1660337223055673e-14,9.813924561596103e-16,1.577989245377507e-14,6.624279547911881e-16
3.5903177947335e-16,5.1156700850595015e-14,8.12187622224382e-16,5.504736795663117e-16
1.708732218885386e-15,7.115476514898071e-14,4.886739743304319e-14,2.175975243050576e-15
5.604237777489247e-16,2.9438912749628162e-15,1.4926562460784624e-13,2.8183086705327754e-14
