single,swarm,thread,process
3.6635813437009563e-103,3.1585899925906423e-102,2.2476631561802718e-102,2.0049262882942516e-101
2.1193611587802855e-104,3.812307982519667e-102,1.0605210226664185e-100,1.872454716257083e-106
9.07401259564334e-106,6.830580686186414e-106,3.6007105554074544e-104,5.226753934260072e-105
1.109427593052751e-98,2.0263472678184388e-103,6.374328053193266e-99,3.2589447681561e-99
3.2139724671688905e-94,2.7634992193639273e-103,1.2325117508269849e-95,3.30177621834501e-102
1.0828578867497419e-98,2.6747832473677334e-100,1.9270237249979938e-94,1.1252230000390317e-97
1.0614198607609517e-99,9.400548704297405e-98,6.024266127602807e-100,6.943025833197688e-101
1.2424028206881618e-95,4.938822757907632e-103,1.4969699855857888e-94,9.090237008409381e-98
1.8669560955103193e-104,1.4036361454204844e-100,3.695832690010818e-106,3.520722643695112e-99
2.449174249347529e-95,1.1123723229383885e-101,6.179062745291831e-102,4.176602605148499e-101
