mode,trial,total_time
single,1,0.29906232499979524
single,2,0.2898180440001852
single,3,0.3089274040003147
single,4,0.2900190250002197
single,5,0.28976595099993574
single,6,0.2909903019999547
single,7,0.289914289999615
single,8,0.3091389530000015
single,9,0.28931147799994505
single,10,0.2897141339999507
swarm,1,0.205594710999776
swarm,2,0.20389109699999608
swarm,3,0.22312406600030954
swarm,4,0.2045785010000145
swarm,5,0.20406305799997426
swarm,6,0.20965470700002697
swarm,7,0.20812998999963384
swarm,8,0.20571332400004394
swarm,9,0.2216264769999725
swarm,10,0.2052742250002666
thread,1,0.39348012599975846
thread,2,0.36937708899995414
thread,3,0.38729752600011125
thread,4,0.3890278430003491
thread,5,0.39024981800002934
thread,6,0.37026055999967866
thread,7,0.3905083750000813
thread,8,0.38773614399997314
thread,9,0.3912526139997681
thread,10,0.3671941710003921
process,1,96.93988383900023
process,2,96.28904676799993
process,3,96.25535443399986
process,4,96.72154810199982
process,5,96.56073284500008
process,6,96.58148561899998
process,7,97.79256863199998
process,8,97.06862526199984
process,9,96.4461623850002
process,10,95.80057000999977
