trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10
94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865
94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865,94705.92303302865
67111.94111940198,67111.94111940198,67111.94111940198,67111.94111940198,67111.94111940198,67111.94111940198,67111.94111940198,67111.94111940198,67111.94111940198,67111.94111940198
60473.24009450894,60473.24009450894,60473.24009450894,60473.24009450894,60473.24009450894,60473.24009450894,60473.24009450894,60473.24009450894,60473.24009450894,60473.24009450894
45265.75587795526,45265.75587795526,45265.75587795526,45265.75587795526,45265.75587795526,45265.75587795526,45265.75587795526,45265.75587795526,45265.75587795526,45265.75587795526
41095.630015878865,41095.630015878865,41095.630015878865,41095.630015878865,41095.630015878865,41095.630015878865,41095.630015878865,41095.630015878865,41095.630015878865,41095.630015878865
38634.11233572345,38634.11233572345,38634.11233572345,38634.11233572345,38634.11233572345,38634.11233572345,38634.11233572345,38634.11233572345,38634.11233572345,38634.11233572345
27504.809473704754,27504.809473704754,27504.809473704754,27504.809473704754,27504.809473704754,27504.809473704754,27504.809473704754,27504.809473704754,27504.809473704754,27504.809473704754
24289.40698129409,24289.40698129409,24289.40698129409,24289.40698129409,24289.40698129409,24289.40698129409,24289.40698129409,24289.40698129409,24289.40698129409,24289.40698129409
23195.391995235288,23195.391995235288,23195.391995235288,23195.391995235288,23195.391995235288,23195.391995235288,23195.391995235288,23195.391995235288,23195.391995235288,23195.391995235288
21189.799966006827,21189.799966006827,21189.799966006827,21189.799966006827,21189.799966006827,21189.799966006827,21189.799966006827,21189.799966006827,21189.799966006827,21189.799966006827
18471.22030500373,18471.22030500373,18471.22030500373,18471.22030500373,18471.22030500373,18471.22030500373,18471.22030500373,18471.22030500373,18471.22030500373,18471.22030500373
14154.54104967602,14154.54104967602,14154.54104967602,14154.54104967602,14154.54104967602,14154.54104967602,14154.54104967602,14154.54104967602,14154.54104967602,14154.54104967602
10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468
10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468,10949.58068113468
