,DE,CRO,GA,CGO,GBO,PSS,SMA,EOA,BBO,AEO,GCO,TLO,FBIO,GSKA,QSA,HS,HGSO,NRO,EFO,EO,DO,GWO,HGS,HHO,WOA,PSO,SSA,PFA
F12017,4.021043981130447e-06,1.963400381411351e-09,0.0,0.0,6.282881220516323e-08,768016744.9723661,0.0,0.0,3.926800762822702e-09,2.513152488206529e-07,4.021043981130447e-06,0.0,1.963400381411351e-09,0.0,0.0,0.0,0.0,0.0,4.021043981130447e-06,0.0,0.0,4.021043981130447e-06,4.021043981130447e-06,0.0,4.021043981130447e-06,0.0,0.0,1.0052609952826117e-06
F22017,0.0,0.0,0.0,0.0,0.0,2225.4736025687703,1.4979556132593925e-14,0.0,3.834766369944045e-12,3.834766369944045e-12,1.533906547977618e-11,4.57139774554258e-19,9.362222582871203e-16,7.314236392868128e-18,0.0,7.489778066296963e-15,3.067813095955236e-11,0.0,0.0,2.340555645717801e-16,0.0,0.0,0.0,3.834766369944045e-12,0.0,0.0,1.9173831849720224e-12,0.0
F32017,4.793457962430056e-13,0.0,0.0,1.198364490607514e-13,0.0,153.67285916631545,0.0,1.9173831849720224e-12,0.0,0.0,4.793457962430056e-13,0.0,0.0,0.0,0.0,0.0,1.9173831849720224e-12,7.489778066296963e-15,1.9173831849720224e-12,1.4979556132593925e-14,0.0,9.586915924860112e-13,0.0,0.0,0.0,0.0,0.0,0.0
F42017,0.0,0.0,0.0,0.0,2.396728981215028e-13,689.043913869173,0.0,0.0,5.99182245303757e-14,0.0,0.0,2.995911226518785e-14,0.0,2.995911226518785e-14,0.0,0.0,0.0,2.995911226518785e-14,0.0,0.0,9.586915924860112e-13,3.834766369944045e-12,0.0,0.0,0.0,1.533906547977618e-11,0.0,0.0
F52017,7.314236392868128e-18,0.0,0.0,0.0,0.0,0.004817736898478249,0.0,0.0,0.0,1.828559098217032e-18,0.0,0.0,0.0,0.0,0.0,0.0,1.4628472785736255e-17,2.28569887277129e-19,0.0,0.0,7.314236392868128e-18,3.657118196434064e-18,0.0,1.828559098217032e-18,2.28569887277129e-19,1.4628472785736255e-17,0.0,3.657118196434064e-18
F62017,0.0,0.0,2.396728981215028e-13,0.0,7.66953273988809e-12,7214.028515709366,0.0,1.9173831849720224e-12,9.586915924860112e-13,3.834766369944045e-12,0.0,0.0,4.793457962430056e-13,4.793457962430056e-13,1.9173831849720224e-12,9.586915924860112e-13,1.533906547977618e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.9173831849720224e-12,0.0,0.0,0.0,7.66953273988809e-12
F72017,0.0,2.925694557147251e-17,1.4628472785736255e-17,0.0,1.4628472785736255e-17,0.926422521803932,0.0,2.340555645717801e-16,7.314236392868128e-18,0.0,0.0,0.0,0.0,0.0,2.340555645717801e-16,0.0,0.0,5.851389114294502e-17,0.0,0.0,9.362222582871203e-16,0.0,0.0,9.14279549108516e-19,0.0,0.0,2.925694557147251e-17,4.681111291435602e-16
F82017,7.489778066296963e-15,3.744889033148481e-15,9.362222582871203e-16,0.0,9.362222582871203e-16,3.3621311364321507,9.362222582871203e-16,0.0,0.0,3.744889033148481e-15,0.0,0.0,0.0,0.0,0.0,0.0,7.489778066296963e-15,1.1702778228589004e-16,7.489778066296963e-15,0.0,1.8724445165742407e-15,3.744889033148481e-15,0.0,0.0,1.8724445165742407e-15,0.0,0.0,0.0
F92017,0.0,4.793457962430056e-13,0.0,0.0,9.586915924860112e-13,570.433390109579,0.0,0.0,0.0,9.586915924860112e-13,0.0,0.0,4.793457962430056e-13,0.0,9.586915924860112e-13,4.793457962430056e-13,1.9173831849720224e-12,9.586915924860112e-13,0.0,0.0,9.586915924860112e-13,0.0,0.0,0.0,0.0,9.586915924860112e-13,9.586915924860112e-13,9.586915924860112e-13
F102017,0.0,1.533906547977618e-11,0.0,0.0,1.533906547977618e-11,65124.57054269768,0.0,0.0,0.0,3.067813095955236e-11,3.067813095955236e-11,0.0,0.0,0.0,1.9173831849720224e-12,1.533906547977618e-11,1.5707203051290808e-08,0.0,0.0,0.0,0.0,3.067813095955236e-11,6.135626191910472e-11,6.135626191910472e-11,3.067813095955236e-11,1.2271252383820944e-10,0.0,0.0
F112017,1.2565762441032646e-07,0.0,4.908500953528377e-10,0.0,0.0,145890786.82267275,0.0,0.0,0.0,3.1414406102581615e-08,3.1414406102581615e-08,1.9173831849720224e-12,1.9173831849720224e-12,0.0,6.135626191910472e-11,0.0,2.0105219905652234e-06,1.2271252383820944e-10,0.0,0.0,0.0,0.0,0.0,3.1414406102581615e-08,0.0,1.0052609952826117e-06,9.817001907056755e-10,0.0
F122017,0.0,0.0,0.0,3.1414406102581615e-08,2.4542504767641887e-10,87999891.57191527,0.0,1.0052609952826117e-06,0.0,3.1414406102581615e-08,0.0,0.0,0.0,9.586915924860112e-13,0.0,0.0,4.021043981130447e-06,0.0,1.2565762441032646e-07,0.0,0.0,0.0,6.282881220516323e-08,1.963400381411351e-09,0.0,1.2565762441032646e-07,3.067813095955236e-11,0.0
F132017,0.0,0.0,0.0,0.0,3.067813095955236e-11,726095.9549753038,0.0,4.908500953528377e-10,0.0,0.0,0.0,3.067813095955236e-11,0.0,3.067813095955236e-11,0.0,0.0,2.4542504767641887e-10,0.0,9.817001907056755e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.817001907056755e-10
F142017,7.853601525645404e-09,0.0,0.0,2.513152488206529e-07,6.135626191910472e-11,23495339.381641995,1.533906547977618e-11,0.0,6.135626191910472e-11,3.926800762822702e-09,0.0,0.0,0.0,7.66953273988809e-12,0.0,0.0,0.0,7.66953273988809e-12,0.0,3.834766369944045e-12,0.0,0.0,0.0,1.963400381411351e-09,0.0,0.0,0.0,0.0
F152017,0.0,6.135626191910472e-11,0.0,0.0,0.0,2090678.2153935859,0.0,7.853601525645404e-09,0.0,2.4542504767641887e-10,0.0,3.744889033148481e-15,0.0,0.0,5.99182245303757e-14,0.0,0.0,5.99182245303757e-14,0.0,1.198364490607514e-13,0.0,0.0,0.0,0.0,1.533906547977618e-11,0.0,1.533906547977618e-11,0.0
F162017,0.0,0.0,4.793457962430056e-13,0.0,0.0,282652.78871533135,2.396728981215028e-13,0.0,0.0,0.0,1.533906547977618e-11,5.99182245303757e-14,1.198364490607514e-13,2.396728981215028e-13,0.0,1.198364490607514e-13,0.0,0.0,0.0,0.0,9.817001907056755e-10,0.0,0.0,0.0,0.0,0.0,7.66953273988809e-12,1.5707203051290808e-08
