mode,trial,total_time
single,1,1.62061925099988
single,2,1.5819543309917208
single,3,1.5949472630018136
single,4,1.5786972439964302
single,5,1.5724653430079343
single,6,1.5809750820044428
single,7,1.5766634609899484
single,8,1.5973727330128895
single,9,1.5652686129906215
single,10,1.563363296998432
swarm,1,1.1296840150025673
swarm,2,1.1227039340010379
swarm,3,1.1236919240036514
swarm,4,1.1376310100022238
swarm,5,1.1348702679970302
swarm,6,1.1369899319979595
swarm,7,1.1350937870010966
swarm,8,1.1377235720137833
swarm,9,1.1394526709918864
swarm,10,1.1331839649938047
thread,1,1.6654246849939227
thread,2,1.6408108999894466
thread,3,1.6451954449876212
thread,4,1.6406456700060517
thread,5,1.6628763460030314
thread,6,1.6424196959997062
thread,7,1.6358418129966594
thread,8,1.65972768899519
thread,9,1.6313952339987736
thread,10,1.6348335600050632
process,1,153.58861929600243
process,2,153.78336217498872
process,3,151.8983595210011
process,4,150.98985219599854
process,5,153.05362094400334
process,6,151.4260284530028
process,7,151.78498014800425
process,8,153.4420499070111
process,9,152.61585119798838
process,10,154.00152768001135
