F12017,F22017,F32017,F42017,F52017,F62017,F72017,F82017,F92017,F102017,F112017,F122017,F132017,F142017,F152017,F162017,F172017,F182017,F192017,F202017
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
36356453479.2624,46893.7768201331,7518.9381766513925,27705.868305926353,0.006935682696795435,15936.401395114504,0.4279729066252898,18.620554264333066,5627.570310240588,107134.50001345717,3107427998.638105,3011448497.483231,347773.4309541328,104523595.64559697,82074576.29576781,389918735.0114659,796897.2600855867,38482289942.019485,5837.034677937229,16664.853802152193
