F12017,F22017,F32017,F42017,F52017,F62017,F72017,F82017,F92017,F102017,F112017,F122017,F132017,F142017,F152017,F162017,F172017,F182017,F192017,F202017
3884695672.3994694,9123.532800676508,385.7053515505331,3376.130116612586,0.02054181066612071,39017.19425602293,1.5708023771504318,2.8727833833074796,6233.0710577106765,339025.76387299283,345707366.68599707,199955316.1898162,1001094.8660965156,30965897.961240973,1647651.429528891,161438.20063378714,59475.78496294898,288005056.23763674,1676.132606097412,2688.9086651605053
2526583468.475089,6336.004663663696,373.24858621106165,4754.859648970286,0.005985820502217935,26351.17737669716,1.518740585057193,4.388101743487804,6570.138956093675,215623.8354793511,415159973.98119175,203826579.80439615,327348.80440225796,24124972.139934286,124879.1966854604,196750.37817610576,103244.12784999202,275852857.180896,1199.273971364027,3443.0611347249005
3188039129.964961,11087.550994914096,300.4117335688062,5219.465833725166,0.018835640667442727,25987.79893198018,1.6370160181128208,7.1320615156052325,6784.955037111036,145017.28834262982,332900976.4515679,80429697.06168522,824726.083380399,15737552.475934159,162209.8634821496,297255.4342869584,176940.4157853938,373938228.6177069,1687.0791670307665,3083.394913110066
4170178342.815957,6802.922029845219,367.2340985092297,4208.671099412587,0.007812274310316234,41908.914194506666,0.8847799438208632,3.886088193222343,6927.680670453155,224216.50213647174,431142756.3818281,120501965.48263116,885801.7495414204,16944385.263828587,1244875.5069278234,145028.19236353604,124580.91357095128,248029047.4084682,1237.1399293727613,2819.135308508167
2175161998.6306653,8160.398525504243,489.05000629987734,3059.556872314077,0.009340242461660729,48864.53847775952,0.4975530161698793,4.561078369768876,6758.751971974952,99693.96716032224,424452863.593897,83972352.75753818,310295.46084796515,37795419.92285126,5066585.525693096,2000033.6467392303,185799.31162191677,76168372.32408932,652.6254817412287,3091.299142243471
3674018243.0582824,10453.59855459881,457.982612827214,4959.272018563283,0.007537466349502491,22467.65730134087,1.98618552698756,4.095378807427535,6509.144604347547,144845.5149399591,421566169.420018,124801643.09847063,128547.23356793253,43006730.12771672,4686387.352357615,489333.07135605,65309.4445664175,206281316.61361212,1120.4764381851553,3214.9053471323095
2844986828.9982033,10947.774071010745,244.09991504145015,3563.4184499792955,0.01773180673908364,32678.288114458646,0.9780744660588707,8.412680493763627,6798.015966760525,282961.41791752784,513003906.10113025,234954921.42501834,1138299.9317536969,18108897.072229575,2995249.552043969,105015.29059245548,135358.8253290924,139329769.45083094,882.4610542710668,1850.623890117514
4347980024.859994,7462.57066993172,306.1453182912055,4625.054776854868,0.006867273836183339,20512.39460254569,3.121123353504238,2.447802432989855,6947.290388480556,239345.0308012257,289865390.65541685,167071996.1071,573170.8317831297,41392043.3869434,892446.5589531785,237843.24171533482,94623.11061649505,106085181.52056335,865.6628848979673,2316.7181200749737
3034671794.7387834,5893.105282705767,373.9588266606612,5585.628820391564,0.017329612609803747,45862.767470628016,1.7709817130271857,7.761850844488483,6641.620866740571,222443.71885285917,484281052.994922,250355267.01413852,1543960.4747583533,20954522.102753658,305124.25495004957,232087.61771177754,154689.37879573525,127588549.86878432,2000.8254294242497,2725.5126903870405
2537741385.6819296,7856.704495469568,306.8582316048822,5368.490237612137,0.008653665086246496,13842.89606924276,1.585707991413714,6.865609348360887,6942.735686538347,256806.8508343689,388309245.81571186,202141900.4950978,325379.4522140691,39502038.707262516,336000.50101425254,61406.748224913026,208353.76161148574,187207454.2797743,1891.8802630959542,3676.772308218906
