trial_1
8e-05
7.5e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
7.2e-05
